usertw,datetw,followers
German_Vargas,2022-05-24 08:00:39.105406,881121
UCompensar,2022-05-24 08:00:39.105406,7183
sergio_fajardo,2022-05-24 08:00:39.105406,1659950
realamberheard,2022-05-24 08:00:39.105406,233326
marcollinasvolp,2022-05-24 08:00:39.105406,311
JohnMiltonR_,2022-05-24 08:00:39.105406,42252
AlvaroUribeVel,2022-05-25 08:00:34.551085,5031319
petrogustavo,2022-05-25 08:00:34.551085,4910968
FicoGutierrez,2022-05-25 08:00:34.551085,899729
FranciaMarquezM,2022-05-25 08:00:34.551085,443326
Enrique_GomezM,2022-05-25 08:00:34.551085,36639
EnriquePenalosa,2022-05-25 08:00:34.551085,1991761
ingrodolfohdez,2022-05-25 08:00:34.551085,216026
ZelenskyyUa,2022-05-25 08:00:34.551085,6287690
German_Vargas,2022-05-25 08:00:34.551085,881235
UCompensar,2022-05-25 08:00:34.551085,7185
sergio_fajardo,2022-05-25 08:00:34.551085,1661048
realamberheard,2022-05-25 08:00:34.551085,234647
marcollinasvolp,2022-05-25 08:00:34.551085,311
JohnMiltonR_,2022-05-25 08:00:34.551085,42356
AlvaroUribeVel,2022-05-26 08:00:35.718568,5031912
petrogustavo,2022-05-26 08:00:35.718568,4914930
FicoGutierrez,2022-05-26 08:00:35.718568,901146
FranciaMarquezM,2022-05-26 08:00:35.718568,445131
Enrique_GomezM,2022-05-26 08:00:35.718568,36853
EnriquePenalosa,2022-05-26 08:00:35.718568,1991853
ingrodolfohdez,2022-05-26 08:00:35.718568,217615
ZelenskyyUa,2022-05-26 08:00:35.718568,6292262
German_Vargas,2022-05-26 08:00:35.718568,881212
UCompensar,2022-05-26 08:00:35.718568,7186
sergio_fajardo,2022-05-26 08:00:35.718568,1661608
realamberheard,2022-05-26 08:00:35.718568,235619
marcollinasvolp,2022-05-26 08:00:35.718568,311
JohnMiltonR_,2022-05-26 08:00:35.718568,42434
AlvaroUribeVel,2022-05-27 08:00:44.603357,5032936
petrogustavo,2022-05-27 08:00:44.603357,4919153
FicoGutierrez,2022-05-27 08:00:44.603357,902659
FranciaMarquezM,2022-05-27 08:00:44.603357,446756
Enrique_GomezM,2022-05-27 08:00:44.603357,37026
EnriquePenalosa,2022-05-27 08:00:44.603357,1992105
ingrodolfohdez,2022-05-27 08:00:44.603357,219217
ZelenskyyUa,2022-05-27 08:00:44.603357,6295487
German_Vargas,2022-05-27 08:00:44.603357,881302
UCompensar,2022-05-27 08:00:44.603357,7185
sergio_fajardo,2022-05-27 08:00:44.603357,1662163
realamberheard,2022-05-27 08:00:44.603357,237649
marcollinasvolp,2022-05-27 08:00:44.603357,313
JohnMiltonR_,2022-05-27 08:00:44.603357,42487
AlvaroUribeVel,2022-05-28 08:00:42.892915,5033824
petrogustavo,2022-05-28 08:00:42.892915,4924155
FicoGutierrez,2022-05-28 08:00:42.892915,904037
FranciaMarquezM,2022-05-28 08:00:42.892915,448785
Enrique_GomezM,2022-05-28 08:00:42.892915,37122
EnriquePenalosa,2022-05-28 08:00:42.892915,1992318
ingrodolfohdez,2022-05-28 08:00:42.892915,220343
ZelenskyyUa,2022-05-28 08:00:42.892915,6298392
German_Vargas,2022-05-28 08:00:42.892915,881474
UCompensar,2022-05-28 08:00:42.892915,7187
sergio_fajardo,2022-05-28 08:00:42.892915,1662944
realamberheard,2022-05-28 08:00:42.892915,241036
marcollinasvolp,2022-05-28 08:00:42.892915,313
JohnMiltonR_,2022-05-28 08:00:42.892915,42578
AlvaroUribeVel,2022-05-29 08:00:39.785048,5034743
petrogustavo,2022-05-29 08:00:39.785048,4929235
FicoGutierrez,2022-05-29 08:00:39.785048,905423
FranciaMarquezM,2022-05-29 08:00:39.785048,451043
Enrique_GomezM,2022-05-29 08:00:39.785048,37196
EnriquePenalosa,2022-05-29 08:00:39.785048,1992485
ingrodolfohdez,2022-05-29 08:00:39.785048,221231
ZelenskyyUa,2022-05-29 08:00:39.785048,6300691
German_Vargas,2022-05-29 08:00:39.785048,881657
UCompensar,2022-05-29 08:00:39.785048,7189
sergio_fajardo,2022-05-29 08:00:39.785048,1663663
realamberheard,2022-05-29 08:00:39.785048,242779
marcollinasvolp,2022-05-29 08:00:39.785048,313
JohnMiltonR_,2022-05-29 08:00:39.785048,42640
AlvaroUribeVel,2022-05-30 08:00:26.209918,5039359
petrogustavo,2022-05-30 08:00:26.209918,4956914
FicoGutierrez,2022-05-30 08:00:26.209918,909580
FranciaMarquezM,2022-05-30 08:00:26.209918,462128
Enrique_GomezM,2022-05-30 08:00:26.209918,38008
EnriquePenalosa,2022-05-30 08:00:26.209918,1993014
ingrodolfohdez,2022-05-30 08:00:26.209918,248295
ZelenskyyUa,2022-05-30 08:00:26.209918,6303277
German_Vargas,2022-05-30 08:00:26.209918,881841
UCompensar,2022-05-30 08:00:26.209918,7188
sergio_fajardo,2022-05-30 08:00:26.209918,1666144
realamberheard,2022-05-30 08:00:26.209918,244606
marcollinasvolp,2022-05-30 08:00:26.209918,313
JohnMiltonR_,2022-05-30 08:00:26.209918,42868
AlvaroUribeVel,2022-05-31 08:00:31.741296,5044766
petrogustavo,2022-05-31 08:00:31.741296,4979248
FicoGutierrez,2022-05-31 08:00:31.741296,911542
Enrique_GomezM,2022-05-31 08:00:31.741296,38451
ingrodolfohdez,2022-05-31 08:00:31.741296,284304
German_Vargas,2022-05-31 08:00:31.741296,882061
sergio_fajardo,2022-05-31 08:00:31.741296,1669317
marcollinasvolp,2022-05-31 08:00:31.741296,313
FranciaMarquezM,2022-05-31 08:00:31.741296,470739
EnriquePenalosa,2022-05-31 08:00:31.741296,1993738
ZelenskyyUa,2022-05-31 08:00:31.741296,6304198
UCompensar,2022-05-31 08:00:31.741296,7190
realamberheard,2022-05-31 08:00:31.741296,246269
JohnMiltonR_,2022-05-31 08:00:31.741296,43004
AlvaroUribeVel,2022-06-01 08:00:33.620531,5047038
petrogustavo,2022-06-01 08:00:33.620531,4994446
FicoGutierrez,2022-06-01 08:00:33.620531,913096
FranciaMarquezM,2022-06-01 08:00:33.620531,477113
Enrique_GomezM,2022-06-01 08:00:33.620531,38972
EnriquePenalosa,2022-06-01 08:00:33.620531,1994415
ingrodolfohdez,2022-06-01 08:00:33.620531,306596
ZelenskyyUa,2022-06-01 08:00:33.620531,6306739
German_Vargas,2022-06-01 08:00:33.620531,882257
UCompensar,2022-06-01 08:00:33.620531,7192
sergio_fajardo,2022-06-01 08:00:33.620531,1671826
realamberheard,2022-06-01 08:00:33.620531,248213
marcollinasvolp,2022-06-01 08:00:33.620531,313
JohnMiltonR_,2022-06-01 08:00:33.620531,43112
AlvaroUribeVel,2022-06-02 08:00:35.961735,5048555
petrogustavo,2022-06-02 08:00:35.961735,5007498
FicoGutierrez,2022-06-02 08:00:35.961735,914321
FranciaMarquezM,2022-06-02 08:00:35.961735,482891
Enrique_GomezM,2022-06-02 08:00:35.961735,40586
EnriquePenalosa,2022-06-02 08:00:35.961735,1994802
ingrodolfohdez,2022-06-02 08:00:35.961735,319436
ZelenskyyUa,2022-06-02 08:00:35.961735,6308981
German_Vargas,2022-06-02 08:00:35.961735,882422
UCompensar,2022-06-02 08:00:35.961735,7191
sergio_fajardo,2022-06-02 08:00:35.961735,1673533
realamberheard,2022-06-02 08:00:35.961735,291162
marcollinasvolp,2022-06-02 08:00:35.961735,313
JohnMiltonR_,2022-06-02 08:00:35.961735,43191
AlvaroUribeVel,2022-06-03 08:00:29.620120,5049557
petrogustavo,2022-06-03 08:00:29.620120,5014723
FicoGutierrez,2022-06-03 08:00:29.620120,915267
FranciaMarquezM,2022-06-03 08:00:29.620120,486188
Enrique_GomezM,2022-06-03 08:00:29.620120,41916
EnriquePenalosa,2022-06-03 08:00:29.620120,1995208
ingrodolfohdez,2022-06-03 08:00:29.620120,327062
ZelenskyyUa,2022-06-03 08:00:29.620120,6311394
German_Vargas,2022-06-03 08:00:29.620120,882571
UCompensar,2022-06-03 08:00:29.620120,7191
sergio_fajardo,2022-06-03 08:00:29.620120,1675275
realamberheard,2022-06-03 08:00:29.620120,308753
marcollinasvolp,2022-06-03 08:00:29.620120,313
JohnMiltonR_,2022-06-03 08:00:29.620120,43462
AlvaroUribeVel,2022-06-04 08:00:30.215247,5050367
petrogustavo,2022-06-04 08:00:30.215247,5021581
FicoGutierrez,2022-06-04 08:00:30.215247,916244
FranciaMarquezM,2022-06-04 08:00:30.215247,489782
Enrique_GomezM,2022-06-04 08:00:30.215247,43133
EnriquePenalosa,2022-06-04 08:00:30.215247,1995573
ingrodolfohdez,2022-06-04 08:00:30.215247,332591
ZelenskyyUa,2022-06-04 08:00:30.215247,6313184
German_Vargas,2022-06-04 08:00:30.215247,882678
UCompensar,2022-06-04 08:00:30.215247,7190
sergio_fajardo,2022-06-04 08:00:30.215247,1676135
realamberheard,2022-06-04 08:00:30.215247,313490
marcollinasvolp,2022-06-04 08:00:30.215247,314
JohnMiltonR_,2022-06-04 08:00:30.215247,43608
AlvaroUribeVel,2022-06-05 08:00:35.484489,5051144
petrogustavo,2022-06-05 08:00:35.484489,5028041
FicoGutierrez,2022-06-05 08:00:35.484489,916971
FranciaMarquezM,2022-06-05 08:00:35.484489,492814
Enrique_GomezM,2022-06-05 08:00:35.484489,43999
EnriquePenalosa,2022-06-05 08:00:35.484489,1995876
ingrodolfohdez,2022-06-05 08:00:35.484489,335999
ZelenskyyUa,2022-06-05 08:00:35.484489,6315521
German_Vargas,2022-06-05 08:00:35.484489,882783
UCompensar,2022-06-05 08:00:35.484489,7190
sergio_fajardo,2022-06-05 08:00:35.484489,1676847
realamberheard,2022-06-05 08:00:35.484489,316360
marcollinasvolp,2022-06-05 08:00:35.484489,314
JohnMiltonR_,2022-06-05 08:00:35.484489,43984
AlvaroUribeVel,2022-06-06 08:00:44.877083,5051844
petrogustavo,2022-06-06 08:00:44.877083,5034463
FicoGutierrez,2022-06-06 08:00:44.877083,917602
FranciaMarquezM,2022-06-06 08:00:44.877083,495874
Enrique_GomezM,2022-06-06 08:00:44.877083,44760
EnriquePenalosa,2022-06-06 08:00:44.877083,1996175
ingrodolfohdez,2022-06-06 08:00:44.877083,340282
ZelenskyyUa,2022-06-06 08:00:44.877083,6318672
German_Vargas,2022-06-06 08:00:44.877083,882868
UCompensar,2022-06-06 08:00:44.877083,7189
sergio_fajardo,2022-06-06 08:00:44.877083,1677815
realamberheard,2022-06-06 08:00:44.877083,318271
marcollinasvolp,2022-06-06 08:00:44.877083,314
JohnMiltonR_,2022-06-06 08:00:44.877083,44163
AlvaroUribeVel,2022-06-07 08:00:36.057431,5052564
petrogustavo,2022-06-07 08:00:36.057431,5040609
FicoGutierrez,2022-06-07 08:00:36.057431,918306
FranciaMarquezM,2022-06-07 08:00:36.057431,499052
Enrique_GomezM,2022-06-07 08:00:36.057431,45622
EnriquePenalosa,2022-06-07 08:00:36.057431,1996538
ingrodolfohdez,2022-06-07 08:00:36.057431,343837
ZelenskyyUa,2022-06-07 08:00:36.057431,6320317
German_Vargas,2022-06-07 08:00:36.057431,883007
UCompensar,2022-06-07 08:00:36.057431,7191
sergio_fajardo,2022-06-07 08:00:36.057431,1678541
realamberheard,2022-06-07 08:00:36.057431,320065
marcollinasvolp,2022-06-07 08:00:36.057431,314
JohnMiltonR_,2022-06-07 08:00:36.057431,44365
AlvaroUribeVel,2022-06-08 08:00:30.449806,5053631
petrogustavo,2022-06-08 08:00:30.449806,5048289
FicoGutierrez,2022-06-08 08:00:30.449806,919037
FranciaMarquezM,2022-06-08 08:00:30.449806,502305
Enrique_GomezM,2022-06-08 08:00:30.449806,46431
EnriquePenalosa,2022-06-08 08:00:30.449806,1996780
ingrodolfohdez,2022-06-08 08:00:30.449806,347925
ZelenskyyUa,2022-06-08 08:00:30.449806,6322547
German_Vargas,2022-06-08 08:00:30.449806,883139
UCompensar,2022-06-08 08:00:30.449806,7190
sergio_fajardo,2022-06-08 08:00:30.449806,1679245
realamberheard,2022-06-08 08:00:30.449806,321689
marcollinasvolp,2022-06-08 08:00:30.449806,314
JohnMiltonR_,2022-06-08 08:00:30.449806,44483
AlvaroUribeVel,2022-06-09 08:00:43.953516,5054436
petrogustavo,2022-06-09 08:00:43.953516,5055183
FicoGutierrez,2022-06-09 08:00:43.953516,919937
FranciaMarquezM,2022-06-09 08:00:43.953516,505191
Enrique_GomezM,2022-06-09 08:00:43.953516,47187
EnriquePenalosa,2022-06-09 08:00:43.953516,1997096
ingrodolfohdez,2022-06-09 08:00:43.953516,351553
ZelenskyyUa,2022-06-09 08:00:43.953516,6325219
German_Vargas,2022-06-09 08:00:43.953516,883212
UCompensar,2022-06-09 08:00:43.953516,7190
sergio_fajardo,2022-06-09 08:00:43.953516,1680090
realamberheard,2022-06-09 08:00:43.953516,323174
marcollinasvolp,2022-06-09 08:00:43.953516,314
JohnMiltonR_,2022-06-09 08:00:43.953516,44643
AlvaroUribeVel,2022-06-10 08:00:32.467308,5055636
petrogustavo,2022-06-10 08:00:32.467308,5063383
FicoGutierrez,2022-06-10 08:00:32.467308,921543
FranciaMarquezM,2022-06-10 08:00:32.467308,508907
Enrique_GomezM,2022-06-10 08:00:32.467308,48474
EnriquePenalosa,2022-06-10 08:00:32.467308,1997506
ingrodolfohdez,2022-06-10 08:00:32.467308,356613
ZelenskyyUa,2022-06-10 08:00:32.467308,6327007
German_Vargas,2022-06-10 08:00:32.467308,883363
UCompensar,2022-06-10 08:00:32.467308,7190
sergio_fajardo,2022-06-10 08:00:32.467308,1681940
realamberheard,2022-06-10 08:00:32.467308,324086
marcollinasvolp,2022-06-10 08:00:32.467308,314
JohnMiltonR_,2022-06-10 08:00:32.467308,44832
AlvaroUribeVel,2022-06-11 08:00:30.119669,5056481
petrogustavo,2022-06-11 08:00:30.119669,5070050
FicoGutierrez,2022-06-11 08:00:30.119669,922502
FranciaMarquezM,2022-06-11 08:00:30.119669,512012
Enrique_GomezM,2022-06-11 08:00:30.119669,49117
EnriquePenalosa,2022-06-11 08:00:30.119669,1997797
ingrodolfohdez,2022-06-11 08:00:30.119669,359610
ZelenskyyUa,2022-06-11 08:00:30.119669,6329335
German_Vargas,2022-06-11 08:00:30.119669,883436
UCompensar,2022-06-11 08:00:30.119669,7193
sergio_fajardo,2022-06-11 08:00:30.119669,1682847
realamberheard,2022-06-11 08:00:30.119669,324789
marcollinasvolp,2022-06-11 08:00:30.119669,314
JohnMiltonR_,2022-06-11 08:00:30.119669,44883
AlvaroUribeVel,2022-06-12 08:00:43.038567,5057291
petrogustavo,2022-06-12 08:00:43.038567,5075097
FicoGutierrez,2022-06-12 08:00:43.038567,923359
FranciaMarquezM,2022-06-12 08:00:43.038567,514973
Enrique_GomezM,2022-06-12 08:00:43.038567,49550
EnriquePenalosa,2022-06-12 08:00:43.038567,1998009
ingrodolfohdez,2022-06-12 08:00:43.038567,361987
ZelenskyyUa,2022-06-12 08:00:43.038567,6331042
German_Vargas,2022-06-12 08:00:43.038567,883514
UCompensar,2022-06-12 08:00:43.038567,7192
sergio_fajardo,2022-06-12 08:00:43.038567,1683440
realamberheard,2022-06-12 08:00:43.038567,325323
marcollinasvolp,2022-06-12 08:00:43.038567,314
JohnMiltonR_,2022-06-12 08:00:43.038567,44918
AlvaroUribeVel,2022-06-13 08:00:30.889144,5058181
petrogustavo,2022-06-13 08:00:30.889144,5080725
FicoGutierrez,2022-06-13 08:00:30.889144,924148
FranciaMarquezM,2022-06-13 08:00:30.889144,518090
Enrique_GomezM,2022-06-13 08:00:30.889144,50088
EnriquePenalosa,2022-06-13 08:00:30.889144,1998294
ingrodolfohdez,2022-06-13 08:00:30.889144,364293
ZelenskyyUa,2022-06-13 08:00:30.889144,6332337
German_Vargas,2022-06-13 08:00:30.889144,883782
UCompensar,2022-06-13 08:00:30.889144,7192
sergio_fajardo,2022-06-13 08:00:30.889144,1684015
realamberheard,2022-06-13 08:00:30.889144,326195
marcollinasvolp,2022-06-13 08:00:30.889144,314
JohnMiltonR_,2022-06-13 08:00:30.889144,44995
AlvaroUribeVel,2022-06-14 08:00:30.888479,5059126
petrogustavo,2022-06-14 08:00:30.888479,5087076
FicoGutierrez,2022-06-14 08:00:30.888479,925180
FranciaMarquezM,2022-06-14 08:00:30.888479,521234
Enrique_GomezM,2022-06-14 08:00:30.888479,50652
EnriquePenalosa,2022-06-14 08:00:30.888479,1998720
ingrodolfohdez,2022-06-14 08:00:30.888479,366826
ZelenskyyUa,2022-06-14 08:00:30.888479,6333141
German_Vargas,2022-06-14 08:00:30.888479,884021
UCompensar,2022-06-14 08:00:30.888479,7194
sergio_fajardo,2022-06-14 08:00:30.888479,1684752
realamberheard,2022-06-14 08:00:30.888479,327290
marcollinasvolp,2022-06-14 08:00:30.888479,314
JohnMiltonR_,2022-06-14 08:00:30.888479,45190
AlvaroUribeVel,2022-06-15 08:00:39.304231,5060367
petrogustavo,2022-06-15 08:00:39.304231,5094564
FicoGutierrez,2022-06-15 08:00:39.304231,926213
FranciaMarquezM,2022-06-15 08:00:39.304231,524933
EnriquePenalosa,2022-06-15 08:00:39.304231,1999167
ZelenskyyUa,2022-06-15 08:00:39.304231,6334222
UCompensar,2022-06-15 08:00:39.304231,7197
realamberheard,2022-06-15 08:00:39.304231,328384
JohnMiltonR_,2022-06-15 08:00:39.304231,45592
Enrique_GomezM,2022-06-15 08:00:39.304231,51190
ingrodolfohdez,2022-06-15 08:00:39.304231,369927
German_Vargas,2022-06-15 08:00:39.304231,884242
sergio_fajardo,2022-06-15 08:00:39.304231,1685555
marcollinasvolp,2022-06-15 08:00:39.304231,314
AlvaroUribeVel,2022-06-16 08:00:31.324198,5061216
petrogustavo,2022-06-16 08:00:31.324198,5101754
FicoGutierrez,2022-06-16 08:00:31.324198,927051
FranciaMarquezM,2022-06-16 08:00:31.324198,528112
Enrique_GomezM,2022-06-16 08:00:31.324198,51764
EnriquePenalosa,2022-06-16 08:00:31.324198,1999501
ingrodolfohdez,2022-06-16 08:00:31.324198,373484
ZelenskyyUa,2022-06-16 08:00:31.324198,6335277
German_Vargas,2022-06-16 08:00:31.324198,884370
UCompensar,2022-06-16 08:00:31.324198,7198
sergio_fajardo,2022-06-16 08:00:31.324198,1686173
realamberheard,2022-06-16 08:00:31.324198,329159
marcollinasvolp,2022-06-16 08:00:31.324198,314
JohnMiltonR_,2022-06-16 08:00:31.324198,45837
AlvaroUribeVel,2022-06-17 08:00:40.952648,5062178
petrogustavo,2022-06-17 08:00:40.952648,5116438
FicoGutierrez,2022-06-17 08:00:40.952648,927819
FranciaMarquezM,2022-06-17 08:00:40.952648,533426
Enrique_GomezM,2022-06-17 08:00:40.952648,52353
EnriquePenalosa,2022-06-17 08:00:40.952648,1999720
ingrodolfohdez,2022-06-17 08:00:40.952648,377847
ZelenskyyUa,2022-06-17 08:00:40.952648,6336971
German_Vargas,2022-06-17 08:00:40.952648,884475
UCompensar,2022-06-17 08:00:40.952648,7200
sergio_fajardo,2022-06-17 08:00:40.952648,1686908
realamberheard,2022-06-17 08:00:40.952648,330036
marcollinasvolp,2022-06-17 08:00:40.952648,314
JohnMiltonR_,2022-06-17 08:00:40.952648,46023
AlvaroUribeVel,2022-06-18 08:00:38.610719,5063035
petrogustavo,2022-06-18 08:00:38.610719,5125054
FicoGutierrez,2022-06-18 08:00:38.610719,928579
FranciaMarquezM,2022-06-18 08:00:38.610719,537205
Enrique_GomezM,2022-06-18 08:00:38.610719,52869
EnriquePenalosa,2022-06-18 08:00:38.610719,2000043
ingrodolfohdez,2022-06-18 08:00:38.610719,381577
ZelenskyyUa,2022-06-18 08:00:38.610719,6338953
German_Vargas,2022-06-18 08:00:38.610719,884582
UCompensar,2022-06-18 08:00:38.610719,7199
sergio_fajardo,2022-06-18 08:00:38.610719,1687606
realamberheard,2022-06-18 08:00:38.610719,330703
marcollinasvolp,2022-06-18 08:00:38.610719,315
JohnMiltonR_,2022-06-18 08:00:38.610719,46120
AlvaroUribeVel,2022-06-19 08:00:19.666979,5064194
petrogustavo,2022-06-19 08:00:19.666979,5144469
FicoGutierrez,2022-06-19 08:00:19.666979,929536
FranciaMarquezM,2022-06-19 08:00:19.666979,544240
Enrique_GomezM,2022-06-19 08:00:19.666979,53506
EnriquePenalosa,2022-06-19 08:00:19.666979,2000375
ingrodolfohdez,2022-06-19 08:00:19.666979,385187
ZelenskyyUa,2022-06-19 08:00:19.666979,6341012
German_Vargas,2022-06-19 08:00:19.666979,884692
UCompensar,2022-06-19 08:00:19.666979,7199
sergio_fajardo,2022-06-19 08:00:19.666979,1688479
realamberheard,2022-06-19 08:00:19.666979,331226
marcollinasvolp,2022-06-19 08:00:19.666979,315
JohnMiltonR_,2022-06-19 08:00:19.666979,46237
